# 01 | delete 0：JavaScript中到底有什么是可以销毁的

#separator:tab
#html:true
JavaScript中delete操作值类型的返回值	"<pre><code class=""language-javascript"">console.log(delete 0); // true (操作值类型始终返回true)
console.log(delete ""hello""); // true
console.log(delete NaN); // true</code></pre>"
JavaScript间接调用eval技术	"<pre><code class=""language-javascript"">// 间接调用eval - 在全局环境执行
function indirectEvalDemo() {
  ""use strict"";
  
  // 方法1: 逗号操作符
  (0, eval)('console.log(""逗号操作符间接调用"");');
  
  // 方法2: 赋值给变量
  const globalEval = eval;
  globalEval('console.log(""变量赋值间接调用"");');
  
  // 方法3: 通过window对象
  window.eval('console.log(""window.eval调用"");');
}

indirectEvalDemo();

// 验证全局执行
console.log(""全局变量访问:"", typeof privateVar === ""undefined""); // true</code></pre>"
JavaScript间接调用突破限制案例	"<pre><code class=""language-javascript"">// 使用间接调用突破严格模式限制
function bypassStrictMode() {
  ""use strict"";
  
  // 突破1: 重新定义arguments
  (0, eval)('arguments = 100');
  console.log(""arguments值:"", arguments); // 100
  
  // 突破2: 使用八进制字面量
  const octalResult = (0, eval)('012');
  console.log(""八进制结果:"", octalResult); // 10
  
  // 突破3: 隐式创建全局变量
  (0, eval)('leakedData = ""机密信息""');
  console.log(""全局变量:"", leakedData); // ""机密信息""
}

bypassStrictMode();</code></pre>"
JavaScript严格模式特性验证	"<pre><code class=""language-javascript"">// 严格模式原生限制
function strictModeFeatures() {
  ""use strict"";
  
  // 限制1: 参数重定义
  try {
    eval('function fn(a) { var a = 10; }');
  } catch (e) {
    console.log(""参数重定义错误:"", e.message);
  }
  
  // 限制2: with语句禁用
  try {
    eval('with({}) {}');
  } catch (e) {
    console.log(""with语句错误:"", e.message);
  }
  
  // 限制3: 删除不可删除属性
  try {
    eval('delete Object.prototype;');
  } catch (e) {
    console.log(""删除操作错误:"", e.message);
  }
}

strictModeFeatures();</code></pre>"
JavaScript eval豁免案例	"<pre><code class=""language-javascript"">// eval调用的豁免场景
function evalExemptions() {
  // 豁免1: with语句中的对象属性
  const obj = { eval };
  with (obj) {
    eval('console.log(""with中的eval调用"");');
  }
  
  // 豁免2: 函数默认参数
  function fn(x, evalFn = eval) {
    evalFn('console.log(""默认参数中的eval"");');
  }
  fn();
  
  // 豁免3: 词法环境保留引用
  const lexEval = globalThis.eval;
  lexEval('console.log(""词法环境引用"");');
}

evalExemptions();</code></pre>"
JavaScript安全eval替代方案	"<pre><code class=""language-javascript"">// 安全的eval替代方法
function safeEvaluation(userInput) {
  // 危险的原生eval
  try {
    eval(userInput);
    console.log(""原生eval执行成功"");
  } catch (e) {
    console.log(""原生eval风险:"", e.message);
  }
  
  // 替代方案1: Function构造函数
  try {
    const fn = new Function(userInput);
    fn();
    console.log(""Function构造器执行成功"");
  } catch (e) {
    console.log(""Function构造器错误:"", e.message);
  }
  
  // 替代方案2: 沙箱执行
  try {
    const safeEval = (code) => Function(`""use strict""; ${code}`)();
    safeEval(userInput);
    console.log(""沙箱执行成功"");
  } catch (e) {
    console.log(""沙箱执行错误:"", e.message);
  }
}

// 测试安全执行
safeEvaluation('console.log(""安全执行"");');
// safeEvaluation('while(true) {}'); // 测试无限循环防护</code></pre>"
JavaScript间接调用原理验证	"<pre><code class=""language-javascript"">// 验证间接调用机制
function verifyIndirectMechanism() {
  const evalRef = eval;
  
  // 引用验证
  console.log(""直接调用类型:"", typeof eval); // ""function""
  console.log(""间接引用类型:"", typeof evalRef); // ""function""
  
  // 执行环境验证
  (0, eval)('console.log(""间接调用环境:"", this === window);'); // true
  
  // 严格模式状态
  (0, eval)('console.log(""间接调用严格模式:"", (function() { return !this; })());'); // false
}

verifyIndirectMechanism();</code></pre>"
JavaScript eval性能对比	"<pre><code class=""language-javascript"">// eval性能测试
function evalPerformanceTest() {
  const iterations = 10000;
  const code = 'let sum = 0; for(let i=0; i<100; i++) sum += i;';
  
  // 原生eval测试
  console.time(""原生eval"");
  for (let i = 0; i < iterations; i++) {
    eval(code);
  }
  console.timeEnd(""原生eval"");
  
  // Function构造器测试
  console.time(""Function构造器"");
  const dynamicFn = new Function(code);
  for (let i = 0; i < iterations; i++) {
    dynamicFn();
  }
  console.timeEnd(""Function构造器"");
  
  // 预编译函数测试
  console.time(""预编译函数"");
  function precompiledFn() {
    let sum = 0;
    for(let i=0; i<100; i++) sum += i;
  }
  for (let i = 0; i < iterations; i++) {
    precompiledFn();
  }
  console.timeEnd(""预编译函数"");
}

evalPerformanceTest();</code></pre>"


# 22 | new Function('x = 100')();：函数的类化是对动态与静态系统的再次统一

#separator:tab
#html:true
JavaScript静态函数与动态函数对比	"<pre><code class=""language-javascript"">// 静态函数声明
function staticAdd(a, b) {
  return a + b;
}

// 动态函数创建
const dynamicAdd = new Function('a', 'b', 'return a + b');

// 对比测试
console.log(""静态函数:"", staticAdd(2, 3)); // 5
console.log(""动态函数:"", dynamicAdd(2, 3)); // 5

// 作用域绑定差异
function testScope() {
  const local = 10;
  
  // 静态函数可访问局部变量
  function staticAccess() {
    return local;
  }
  
  // 动态函数无法访问局部变量
  const dynamicAccess = new Function('return local');
  
  console.log(""静态访问:"", staticAccess()); // 10
  try {
    console.log(""动态访问:"", dynamicAccess()); // ReferenceError
  } catch (e) {
    console.log(""动态访问错误:"", e.message);
  }
}

testScope();</code></pre>"
JavaScript四类动态函数创建示例	"<pre><code class=""language-javascript"">// 1. 普通函数
const normalFn = new Function('x', 'y', 'return x * y');
console.log(""普通函数:"", normalFn(3, 4)); // 12

// 2. 生成器函数
const GeneratorFn = (function*(){}).constructor;
const genFn = new GeneratorFn('x', 'y', `
  yield x;
  yield y;
  return x + y;
`);
const gen = genFn(1, 2);
console.log(gen.next().value); // 1
console.log(gen.next().value); // 2
console.log(gen.next().value); // 3

// 3. 异步生成器函数
const AsyncGeneratorFn = (async function*(){}).constructor;
const asyncGenFn = new AsyncGeneratorFn('x', 'y', `
  yield await x;
  yield await y;
`);
const asyncGen = asyncGenFn(Promise.resolve(10), Promise.resolve(20));
asyncGen.next().then(result => console.log(""异步生成器:"", result.value)); // 10

// 4. 异步函数
const AsyncFn = (async ()=>{}).constructor;
const asyncFn = new AsyncFn('x', 'y', 'return await x + await y;');
asyncFn(Promise.resolve(5), Promise.resolve(7)).then(console.log); // 12</code></pre>"
JavaScript函数子类化实现	"<pre><code class=""language-javascript"">class CustomFunction extends Function {
  constructor() {
    // 调用父类构造器
    super('...args', 'return this.execute(...args)');
    
    // 绑定实例方法
    const instance = this.bind(this);
    Object.setPrototypeOf(instance, CustomFunction.prototype);
    return instance;
  }
  
  // 自定义执行逻辑
  execute(...args) {
    console.log(""接收参数:"", args);
    return args.reduce((sum, val) => sum + val, 0);
  }
}

// 使用自定义函数类
const customFn = new CustomFunction();
console.log(""执行结果:"", customFn(1, 2, 3)); // 6</code></pre>"
JavaScript动态函数作用域隔离验证	"<pre><code class=""language-javascript"">function createScopedFunction() {
  const privateData = ""机密信息"";
  
  // 1. 闭包函数
  const closureFn = () => privateData;
  
  // 2. 动态创建的函数
  const dynamicFn = new Function('return privateData');
  
  return { closureFn, dynamicFn };
}

const { closureFn, dynamicFn } = createScopedFunction();

console.log(""闭包函数访问:"", closureFn()); // ""机密信息""
try {
  console.log(""动态函数访问:"", dynamicFn()); // ReferenceError
} catch (e) {
  console.log(""动态函数错误:"", e.message); // privateData未定义
}

// 全局作用域绑定验证
dynamicFn.call({ privateData: ""伪造数据"" }); // 仍然报错（无法绑定作用域）</code></pre>"
JavaScript动态函数严格模式特性	"<pre><code class=""language-javascript"">// 严格模式下的函数
function strictEnvironment() {
  ""use strict"";
  
  // 动态函数继承全局严格模式状态
  const dynamicFn = new Function(`
    try {
      undeclaredVar = 42; // 严格模式下禁止隐式全局变量
    } catch (e) {
      return ""捕获错误:"" + e.message;
    }
  `);
  
  console.log(""动态函数执行:"", dynamicFn());
}

// 非严格模式下的函数
function nonStrictEnvironment() {
  const dynamicFn = new Function(`
    undeclaredVar = 42; // 非严格模式允许
    return undeclaredVar;
  `);
  
  console.log(""动态函数执行:"", dynamicFn()); // 42
}

strictEnvironment();
nonStrictEnvironment();</code></pre>"
JavaScript安全沙箱实现	"<pre><code class=""language-javascript"">// 安全沙箱函数
function createSafeSandbox(code) {
  // 使用动态函数创建沙箱
  return new Function('data', `
    ""use strict"";
    try {
      // 限制访问危险对象
      const safeGlobals = { 
        console, 
        JSON,
        Math,
        Array,
        Object,
        Date
      };
      
      // 封装执行环境
      with (safeGlobals) {
        ${code}
      }
    } catch (e) {
      console.error(""沙箱错误:"", e);
      return null;
    }
  `);
}

// 使用安全沙箱
const sandbox = createSafeSandbox('return data.map(item => item * 2)');
const result = sandbox([1, 2, 3]);
console.log(""沙箱执行结果:"", result); // [2, 4, 6]</code></pre>"
JavaScript动态模板函数	"<pre><code class=""language-javascript"">// 动态模板系统
class TemplateEngine {
  constructor(template) {
    // 动态创建模板函数
    this.render = new Function('data', `
      try {
        with(data) {
          return \`${template}\`;
        }
      } catch (e) {
        return ""<div>渲染错误</div>"";
      }
    `);
  }
}

// 使用模板引擎
const userTemplate = new TemplateEngine(`
  <div class=""user"">
    <h2>\${name}</h2>
    <p>邮箱: \${email}</p>
    <p>注册时间: \${new Date(registered).toLocaleDateString()}</p>
  </div>
`);

const userData = {
  name: ""Alice"",
  email: ""alice@example.com"",
  registered: ""2023-01-15""
};

console.log(""渲染结果:"", userTemplate.render(userData));</code></pre>"
JavaScript动态函数性能优化	"<pre><code class=""language-javascript"">// 函数性能对比测试
function performanceTest() {
  const iterations = 100000;
  const testValues = Array(1000).fill().map((_, i) => i);
  
  // 预编译静态函数
  function staticSum(arr) {
    return arr.reduce((sum, val) => sum + val, 0);
  }
  
  // 动态创建函数
  const dynamicSum = new Function('arr', `
    return arr.reduce((sum, val) => sum + val, 0);
  `);
  
  // 测试静态函数
  console.time(""静态函数"");
  for (let i = 0; i < iterations; i++) {
    staticSum(testValues);
  }
  console.timeEnd(""静态函数"");
  
  // 测试动态函数
  console.time(""动态函数"");
  for (let i = 0; i < iterations; i++) {
    dynamicSum(testValues);
  }
  console.timeEnd(""动态函数"");
}

performanceTest();</code></pre>"
